A01nficha;A01uf;localidade;setor_distrito;morador_id;index;idade_calculada;E02_1;E02_2;E02_3;E03;E03_1;E03_1_1;E03_2;E03_2_1;E04;E04_1;E04_1_1;E05;E06;E06_1;E07;E08;E08_1;E09;E10;E11;E12;E13;E14;E15_A;E15_B;E15_1;E16;E16_1;E17;E18;E19;E19_1;E20;E20_1;E21;E22;E22_1;F01;F02;F03_1;F03_2;F04;F05_1;F05_2;F05_3;F05_4;G01;G02;G03;G04;G05;G06;G06_1;G06_2;H01;H02;H03;H04_1;H04_2;H04_3;H04_4;H05_1;H05_2;H05_3;H05_4;H05_5;H05_6;H05_7;H05_8;H05_9;H05_10;H05_11;H06;H07;H08;H09;H10;H11;H12;H13;I01;I02;I03_1;I03_1_1;I03_1_1_r;I03_2;I03_2_1;I03_2_1_r;I04;I05;I05_1;I06;I07;I08;I09_1;I09_2;I09_3;I09_4;I09_5;I09_6;I09_7;I09_8;I09_9;I10;I13;I14;I15;I16;I18;I19;I20;I20_r;I21;I21_r;I22_1;I22_1_r;I22_2;I22_2_r;I23;renda_ind;renda_ind_r;infla_ipcadf;id_genero;orientacao_sx;lgbtqiam;escolaridade;peso_mor
229;53;5305;8;00229-1;1;36;99999;99999;36;1;1;99999;6;99999;1;1;00229-2;2;1;99999;2;1;00229-2;1;4;4;4;4;4;76;53;7653;2;1;99999;8;99999;765306;99999;5305;3;2;99999;1;0;0;1;1;1;1;2;2;1;4;2;11;1;99999;99999;99999;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;14;1;8;2;2;2;99999;99999,0;2;99999;99999,0;1;3;0;40;1;1;1;2;2;2;2;2;2;99999;1;5;1;1;99999;99999;99999;1;88888;99999,0;0;0,0;99999;99999,0;88888;99999,0;14;99999;99999,0;0,989671705;1;1;1;7;51,53668591
229;53;5305;8;00229-2;2;27;99999;99999;27;1;1;99999;6;99999;3;99999;99999;1;1;99999;2;1;00229-1;1;4;4;4;4;4;76;53;7653;2;1;99999;7;99999;765314;99999;5305;2;2;99999;1;0;0;1;1;1;1;2;2;1;4;2;11;1;99999;99999;99999;1;1;99999;2;2;99999;56;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;9;7;2;99999;99999;99999;99999;2;2;2;99999;99999,0;2;99999;99999,0;1;3;0;88888;2;56;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;7;99999;1;1;99999;1;6000;6062,61649;0;0,0;99999;99999,0;88888;99999,0;42;99999;99999,0;0,989671705;1;1;1;6;38,82589842
315;53;5311;14;00315-1;1;67;1956-08-19;99999;99999;2;2;99999;8;99999;1;2;99999;4;1;99999;5;2;99999;1;4;4;4;4;4;76;52;76522140;99999;99999;30;30;99999;99999;7653;5311;1;2;99999;1;0;1;0;1;2;1;1;2;2;99999;99999;99999;1;1;4;19;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;14;1;10;2;2;2;99999;99999,0;1;1412;101042,5977;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;2;99999;99999,0;99999;99999,0;99999;99999,0;0;0,0;40;1412;1426,735747;0,989671705;1;2;2;7;29,9176778
315;53;5311;14;00315-2;2;30;1994-02-27;99999;99999;2;2;99999;8;99999;5;99999;99999;4;1;99999;1;3;99999;1;4;4;4;4;4;76;53;7653;2;2;99999;99999;99999;99999;99999;5311;99999;2;99999;1;0;1;0;1;2;1;1;2;2;99999;99999;99999;1;2;99999;99999;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;14;1;88888;2;2;2;99999;99999,0;2;99999;99999,0;1;0;6;40;1;0;2;1;2;2;2;2;1;99999;7;2;3;99999;99999;99999;1;1;1412;1426,735747;0;0,0;99999;99999,0;88888;99999,0;0;99999;99999,0;0,989671705;1;2;2;7;25,46550945
315;53;5311;14;00315-3;3;37;1986-09-26;99999;99999;1;1;99999;10;99999;5;99999;99999;4;1;99999;1;3;99999;1;4;4;4;4;4;76;53;7653;2;2;99999;99999;99999;99999;99999;5311;99999;2;99999;1;0;1;0;1;2;1;1;2;2;99999;99999;99999;2;99999;99999;99999;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;14;1;88888;2;2;2;99999;99999,0;2;99999;99999,0;1;3;0;40;1;1;1;2;2;2;2;2;2;99999;1;2;3;99999;99999;99999;1;1;2500;2526,090204;0;0,0;99999;99999,0;88888;99999,0;0;99999;99999,0;0,989671705;1;2;2;7;33,45381101
339;53;5331;37;00339-1;1;62;1961-06-29;99999;99999;2;2;99999;5;99999;1;99999;99999;4;2;99999;1;2;99999;2;3;4;2;3;4;76;22;76220455;99999;99999;24;24;99999;99999;7653;5331;2;99999;99999;1;0;0;1;1;2;1;2;2;1;1;4;5;2;1;4;20;2;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;7;2;3;1;1;1;1420;1442,710742;2;99999;99999,0;1;0;0;24;1;26;1;2;2;2;2;2;2;99999;1;2;7;99999;2;2;99999;1;390;396,2374572;0;0,0;99999;99999,0;88888;99999,0;88888;99999;99999,0;0,984258285;1;2;2;2;5,206399535
348;53;5305;8;00348-1;1;41;99999;99999;41;2;2;99999;5;99999;1;2;99999;2;1;99999;2;1;00348-2;2;4;4;4;4;4;76;53;7653;1;99999;5;5;7629;76292530;7653;5305;1;2;99999;1;0;0;1;1;2;1;2;2;1;88888;88888;1;1;1;2;19;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;9;2;1;2;2;2;99999;99999,0;2;99999;99999,0;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;2;99999;99999,0;99999;99999,0;99999;99999,0;88888;99999,0;88888;99999;99999,0;0,984258285;1;2;2;4;43,32482054
348;53;5305;8;00348-2;2;45;99999;99999;45;1;1;99999;5;99999;2;99999;99999;2;88888;99999;2;1;00348-1;2;4;4;4;4;4;76;31;76313670;99999;99999;5;5;7629;76292530;7653;5305;1;2;99999;1;0;1;0;1;2;1;2;2;2;99999;99999;99999;2;99999;99999;99999;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;7;2;88888;2;2;2;99999;99999,0;2;99999;99999,0;1;88888;88888;50;1;0;2;1;2;2;2;2;2;99999;2;1;8;99999;2;1;99999;1;88888;99999,0;0;0,0;99999;99999,0;88888;99999,0;0;99999;99999,0;0,984258285;1;2;2;2;48,25002465
348;53;5305;8;00348-3;3;16;99999;99999;16;1;99999;99999;99999;99999;5;99999;99999;2;1;99999;1;3;99999;99999;4;4;4;4;4;76;31;76313670;99999;99999;5;5;7629;76292530;7653;5305;1;2;99999;1;1;0;1;1;2;1;2;2;1;4;1;1;1;99999;99999;99999;1;1;99999;2;1;1;0;2;2;2;2;1;2;2;2;2;99999;5;1;5;2;99999;99999;99999;99999;99999;2;2;2;99999;99999,0;2;99999;99999,0;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;2;99999;99999,0;99999;99999,0;99999;99999,0;0;0,0;0;0;0,0;0,984258285;99999;99999;99999;4;55,27255976
348;53;5305;8;00348-4;4;24;99999;99999;24;2;2;99999;5;99999;5;99999;99999;2;1;99999;1;3;99999;2;4;4;4;4;4;76;29;76292530;99999;99999;5;5;7629;76292530;7653;5305;1;2;99999;1;1;0;1;1;2;1;2;2;1;4;2;1;1;1;1;23;1;1;99999;2;1;3;1;1;2;2;2;2;2;2;2;2;99999;1;3;9;1;2;99999;99999;99999;99999;2;2;2;99999;99999,0;2;99999;99999,0;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;2;99999;99999,0;99999;99999,0;99999;99999,0;0;0,0;88888;0;0,0;0,984258285;1;2;2;6;48,85438092
